ID Préstamo,Fecha de Corte,Capital Base,Interés Generado,Interés Pagado en el Periodo,Mora Acumulada
6,7/7/2026,"$1,000,000",,$0,
6,7/8/2026,"$1,000,000",,$0,
6,7/9/2026,"$1,000,000",,$0,
6,7/10/2026,"$1,000,000",,$0,
6,7/11/2026,"$1,000,000",,$0,
6,7/12/2026,"$1,000,000",,$0,
6,7/1/2027,"$1,000,000",,$0,
6,7/2/2027,"$1,000,000",,$0,
6,7/3/2027,"$1,000,000",,$0,
6,7/4/2027,"$1,000,000",,$0,
6,7/5/2027,"$1,000,000",,$0,
6,7/6/2027,"$1,000,000",,$0,
6,7/7/2027,"$1,000,000",,$0,
6,7/8/2027,"$1,000,000",,$0,
6,7/9/2027,"$1,000,000",,$0,
6,7/10/2027,"$1,000,000",,$0,
6,7/11/2027,"$1,000,000",,$0,
